store_number,store_name,address,city,zip_code,county_number
4411,Kum & Go #203 / Perry,1219 1ST ST,PERRY,50220,8
4412,KUM & GO #95 / DE SOTO,1203 GUTHRIE ST,DE SOTO,50069,25
4413,Kum & Go #267 / Tipton,2050 IA HIGHWAY 38,TIPTON,52772,16
4414,KUM & GO #439 / WAPELLO,303 US HWY 61 N,WAPELLO,52653,58
4415,KUM & GO #23 / NEOLA,29356 298TH ST,NEOLA,51559,78
4416,KUM & GO #513 / ACKLEY,420 SHERMAN ST,ACKLEY,50601,42
4417,KUM & GO #83 / CASEY,501 ANTUQUE COUNTRY DR,CASEY,50048,39
4418,KUM & GO #76 / ADAIR,109 S 5TH ST,ADAIR,50002,1
4419,KUM & GO #46 / WALNUT,1709 ANTIQUE CITY DR,WALNUT,51577,78
4420,KUM & GO #4 / LAMONI,2091 E MAIN ST,LAMONI,50140,27
4421,KUM & GO #38 / OTTUMWA,534 CHURCH ST,OTTUMWA,52501,90
4422,KUM & GO #1 / HAMPTON,609 CENTRAL AVE W,HAMPTON,50441,35
4424,KUM & GO #193 / STUART,104 N DIVISION ST,STUART,50250,1
4425,CIRCLE K #6601 / BURLINGTON,1012 MAPLE ST,BURLINGTON,52601,29
4426,Quik Trip #575 / Council Bluffs,1749 W BROADWAY ST,COUNCIL BLUFFS,51501,78
4427,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,64
4428,Kum & Go #507 / North Liberty,610 N KANSAS AVE,NORTH LIBERTY,52317,52
4429,Kum & Go #200 / Ames,4510 MORTENSEN RD,AMES,50014,85
4430,Kum & Go #32 / Colfax,1200 N WALNUT ST,COLFAX,50054,50
4431,Kum & Go #87 / Fort Dodge,1601 FIFTH AVENUE S,FORT DODGE,50501,94
4432,Kum & Go #89 / Fort Dodge,115 N 22ND ST,FORT DODGE,50501,94
4433,Kum & Go #201 Coralville,822 1ST AVE,CORALVILLE,52241,52
4434,Kum & Go #24  Pleasant Hill,5970 MORNING STAR CT,PLEASANT HILL,50317,77
4435,Todd's,209 S UNION ST,ROCK RAPIDS,51246,60
4436,Kum & Go #220  Council Bluffs,2024 5TH AVE,COUNCIL BLUFFS,51501,78
4437,Kum & Go #216  Ames,203 WELCH AVE,AMES,50010,85
4438,Kum & Go #215  Ames,4506 LINCOLN WAY,AMES,50010,85
4439,Kum & Go #214  Ames,111 DUFF AVE,AMES,50010,85
4440,CENTER POINT FOODS,800 FORD LANE,CENTER POINT,52213,57
4441,Kum & Go #219  Council Bluffs,154 BENNETT AVE,COUNCIL BLUFFS,51503,78
4442,SPEEDE SHOP,204 N Main St,Garnavillo,52049,22
4443,A-TOWN LIQUOR STORE,212 10TH ST,ALTON,51003,84
4444,Palo Mini Mart,1204 1ST ST,PALO,52324,57
